 CDTJune/15/2021 12:54:22:798,xyz_acc:-0.118 -0.611 -0.582
 CDTJune/15/2021 12:54:22:815,resultant_acc:0.852
 CDTJune/15/2021 12:54:22:910,xyz_acc:-0.345 0.812 -0.118
 CDTJune/15/2021 12:54:22:922,resultant_acc:0.89
 CDTJune/15/2021 12:54:22:23,xyz_acc:0.051 1.512 -0.277
 CDTJune/15/2021 12:54:22:34,resultant_acc:1.538
 CDTJune/15/2021 12:54:22:97,xyz_acc:-0.356 0.161 -1.754
 CDTJune/15/2021 12:54:22:111,resultant_acc:1.797
 CDTJune/15/2021 12:54:23:194,xyz_acc:-0.303 0.089 -0.5
 CDTJune/15/2021 12:54:23:213,resultant_acc:0.591
 CDTJune/15/2021 12:54:23:304,xyz_acc:-0.336 0.603 -0.759
 CDTJune/15/2021 12:54:23:318,resultant_acc:1.026
 CDTJune/15/2021 12:54:23:402,xyz_acc:-0.283 -0.581 -0.785
 CDTJune/15/2021 12:54:23:413,resultant_acc:1.017
 CDTJune/15/2021 12:54:23:507,xyz_acc:-0.219 -0.453 -0.534
 CDTJune/15/2021 12:54:23:516,resultant_acc:0.734
 CDTJune/15/2021 12:54:23:599,xyz_acc:-0.295 2.611 -1.12
 CDTJune/15/2021 12:54:23:609,resultant_acc:2.856
 CDTJune/15/2021 12:54:23:710,xyz_acc:-0.054 -0.574 0.466
 CDTJune/15/2021 12:54:23:723,resultant_acc:0.741
 CDTJune/15/2021 12:54:23:789,xyz_acc:-0.185 -0.783 -0.296
 CDTJune/15/2021 12:54:23:797,resultant_acc:0.857
 CDTJune/15/2021 12:54:23:895,xyz_acc:-0.081 1.741 0.35
 CDTJune/15/2021 12:54:23:909,resultant_acc:1.778
 CDTJune/15/2021 12:54:23:987,xyz_acc:-0.143 1.211 0.069
 CDTJune/15/2021 12:54:23:997,resultant_acc:1.221
 CDTJune/15/2021 12:54:23:107,xyz_acc:-0.063 -0.216 -1.366
 CDTJune/15/2021 12:54:23:117,resultant_acc:1.384
 CDTJune/15/2021 12:54:24:202,xyz_acc:-0.201 1.181 0.745
 CDTJune/15/2021 12:54:24:212,resultant_acc:1.411
 CDTJune/15/2021 12:54:24:298,xyz_acc:-0.162 1.198 -0.565
 CDTJune/15/2021 12:54:24:310,resultant_acc:1.334
 CDTJune/15/2021 12:54:24:406,xyz_acc:-0.305 -0.576 -1.44
 CDTJune/15/2021 12:54:24:415,resultant_acc:1.581
 CDTJune/15/2021 12:54:24:498,xyz_acc:-0.336 0.145 -0.104
 CDTJune/15/2021 12:54:24:509,resultant_acc:0.38
 CDTJune/15/2021 12:54:24:598,xyz_acc:-0.177 0.551 -0.25
 CDTJune/15/2021 12:54:24:611,resultant_acc:0.63
 CDTJune/15/2021 12:54:24:709,xyz_acc:-0.17 -0.808 -0.289
 CDTJune/15/2021 12:54:24:721,resultant_acc:0.875
 CDTJune/15/2021 12:54:24:799,xyz_acc:-0.144 -0.491 0.835
 CDTJune/15/2021 12:54:24:813,resultant_acc:0.979
 CDTJune/15/2021 12:54:24:912,xyz_acc:0.134 1.846 -0.626
 CDTJune/15/2021 12:54:24:919,resultant_acc:1.954
 CDTJune/15/2021 12:54:24:999,xyz_acc:0.058 -1.11 -0.117
 CDTJune/15/2021 12:54:24:11,resultant_acc:1.118
 CDTJune/15/2021 12:54:24:95,xyz_acc:-0.263 -0.45 -0.427
 CDTJune/15/2021 12:54:24:105,resultant_acc:0.674
 CDTJune/15/2021 12:54:25:191,xyz_acc:-0.367 2.131 -1.187
 CDTJune/15/2021 12:54:25:203,resultant_acc:2.467
 CDTJune/15/2021 12:54:25:299,xyz_acc:0.319 -1.67 0.594
 CDTJune/15/2021 12:54:25:309,resultant_acc:1.801
 CDTJune/15/2021 12:54:25:402,xyz_acc:-0.194 -0.556 -0.534
 CDTJune/15/2021 12:54:25:416,resultant_acc:0.795
 CDTJune/15/2021 12:54:25:505,xyz_acc:0.024 0.924 0.761
