 CDTJune/30/2021 17:00:14:599,xyz_acc:-0.003 0.116 -0.996
 CDTJune/30/2021 17:00:14:614,resultant_acc:1.003
 CDTJune/30/2021 17:00:14:683,xyz_acc:-0.004 0.117 -1.005
 CDTJune/30/2021 17:00:14:696,resultant_acc:1.012
 CDTJune/30/2021 17:00:14:770,xyz_acc:-0.009 0.116 -0.992
 CDTJune/30/2021 17:00:14:785,resultant_acc:0.999
 CDTJune/30/2021 17:00:14:887,xyz_acc:0.001 0.169 -1.004
 CDTJune/30/2021 17:00:14:906,resultant_acc:1.018
 CDTJune/30/2021 17:00:14:974,xyz_acc:-0.009 0.114 -1.007
 CDTJune/30/2021 17:00:14:995,resultant_acc:1.013
 CDTJune/30/2021 17:00:15:67,xyz_acc:-0.005 0.12 -0.998
 CDTJune/30/2021 17:00:15:90,resultant_acc:1.005
 CDTJune/30/2021 17:00:15:188,xyz_acc:-0.013 0.124 -0.997
 CDTJune/30/2021 17:00:15:202,resultant_acc:1.005
 CDTJune/30/2021 17:00:15:276,xyz_acc:-0.008 0.12 -0.999
 CDTJune/30/2021 17:00:15:298,resultant_acc:1.006
 CDTJune/30/2021 17:00:15:405,xyz_acc:-0.008 0.113 -0.998
 CDTJune/30/2021 17:00:15:417,resultant_acc:1.004
 CDTJune/30/2021 17:01:04:86,xyz_acc:0.112 0.12 -0.969
 CDTJune/30/2021 17:01:04:91,resultant_acc:0.983
 CDTJune/30/2021 17:01:04:141,xyz_acc:0.112 0.135 -1.001
 CDTJune/30/2021 17:01:04:170,resultant_acc:1.016
 CDTJune/30/2021 17:01:04:270,xyz_acc:0.115 0.141 -0.996
 CDTJune/30/2021 17:01:04:272,resultant_acc:1.012
 CDTJune/30/2021 17:01:04:326,xyz_acc:0.096 0.135 -0.985
 CDTJune/30/2021 17:01:04:352,resultant_acc:0.999
 CDTJune/30/2021 17:01:04:412,xyz_acc:0.103 0.136 -0.99
 CDTJune/30/2021 17:01:04:532,resultant_acc:1.005
 CDTJune/30/2021 17:01:04:559,xyz_acc:0.116 0.135 -0.988
 CDTJune/30/2021 17:01:04:621,resultant_acc:1.004
 CDTJune/30/2021 17:01:04:686,xyz_acc:0.107 0.098 -0.992
 CDTJune/30/2021 17:01:04:688,resultant_acc:1.003
 CDTJune/30/2021 17:01:04:747,xyz_acc:0.102 0.155 -0.997
 CDTJune/30/2021 17:01:04:802,resultant_acc:1.014
 CDTJune/30/2021 17:01:04:867,xyz_acc:0.099 0.126 -0.984
 CDTJune/30/2021 17:01:04:869,resultant_acc:0.997
 CDTJune/30/2021 17:01:04:926,xyz_acc:0.208 0.038 -0.983
 CDTJune/30/2021 17:01:04:953,resultant_acc:1.005
 CDTJune/30/2021 17:01:04:12,xyz_acc:0.149 0.077 -1.028
 CDTJune/30/2021 17:01:04:41,resultant_acc:1.042
 CDTJune/30/2021 17:01:05:222,xyz_acc:0.081 0.135 -0.971
 CDTJune/30/2021 17:01:05:290,resultant_acc:0.984
 CDTJune/30/2021 17:01:05:341,xyz_acc:0.108 0.12 -0.989
 CDTJune/30/2021 17:01:05:401,resultant_acc:1.002
 CDTJune/30/2021 17:01:05:472,xyz_acc:0.061 0.468 -1.053
 CDTJune/30/2021 17:01:05:474,resultant_acc:1.154
 CDTJune/30/2021 17:01:05:680,xyz_acc:0.137 0.125 -0.991
 CDTJune/30/2021 17:01:05:731,resultant_acc:1.008
 CDTJune/30/2021 17:01:05:797,xyz_acc:0.096 0.126 -0.994
 CDTJune/30/2021 17:01:05:800,resultant_acc:1.007
 CDTJune/30/2021 17:01:05:857,xyz_acc:0.108 0.121 -0.981
 CDTJune/30/2021 17:01:05:859,resultant_acc:0.994
 CDTJune/30/2021 17:01:05:911,xyz_acc:0.138 0.12 -1.001
 CDTJune/30/2021 17:01:05:32,resultant_acc:1.018
