CDTJuly/22/2021 16:26:43:304,heart_rate:92.0
 CDTJuly/22/2021 16:32:50:526,resultant_acc:1.006
 CDTJuly/22/2021 16:32:50:651,resultant_acc:0.998
 CDTJuly/22/2021 16:32:50:749,resultant_acc:0.99
 CDTJuly/22/2021 16:32:50:835,resultant_acc:1.023
 CDTJuly/22/2021 16:32:50:929,resultant_acc:1.011
 CDTJuly/22/2021 16:32:50:52,resultant_acc:0.983
 CDTJuly/22/2021 16:32:50:138,resultant_acc:1.008
 CDTJuly/22/2021 16:32:50:222,resultant_acc:0.996
 CDTJuly/22/2021 16:32:50:359,resultant_acc:1.015
 CDTJuly/22/2021 16:32:50:427,resultant_acc:1.003
 CDTJuly/22/2021 16:32:51:553,resultant_acc:0.997
 CDTJuly/22/2021 16:32:51:650,resultant_acc:0.995
 CDTJuly/22/2021 16:32:51:741,resultant_acc:1.007
 CDTJuly/22/2021 16:32:51:826,resultant_acc:1.003
 CDTJuly/22/2021 16:32:51:995,resultant_acc:1.01
 CDTJuly/22/2021 16:32:51:48,resultant_acc:0.998
 CDTJuly/22/2021 16:32:51:245,resultant_acc:0.289
 CDTJuly/22/2021 16:40:27:516,hrv:0.0
