 CDTJune/24/2021 12:37:23:395,resultant_acc:1.007
 CDTJune/24/2021 12:37:23:488,xyz_acc:0.044 0.117 -0.8
 CDTJune/24/2021 12:37:23:489,resultant_acc:0.81
 CDTJune/24/2021 12:37:24:930,xyz_acc:-0.046 0.91 -0.7
 CDTJune/24/2021 12:37:24:932,resultant_acc:1.149
 CDTJune/24/2021 12:37:24:935,xyz_acc:-0.127 0.9 -0.357
 CDTJune/24/2021 12:37:24:46,resultant_acc:0.977
 CDTJune/24/2021 12:37:24:47,xyz_acc:-0.104 1.076 -0.431
 CDTJune/24/2021 12:37:24:49,resultant_acc:1.164
 CDTJune/24/2021 12:37:24:411,xyz_acc:-0.079 0.397 -0.823
 CDTJune/24/2021 12:37:24:414,resultant_acc:0.917
 CDTJune/24/2021 12:37:25:891,xyz_acc:0.027 0.26 -1.085
 CDTJune/24/2021 12:37:25:894,resultant_acc:1.116
 CDTJune/24/2021 12:37:25:897,xyz_acc:-0.052 0.151 -0.947
 CDTJune/24/2021 12:37:25:296,resultant_acc:0.96
 CDTJune/24/2021 12:37:25:301,xyz_acc:-0.011 0.086 -0.85
 CDTJune/24/2021 12:37:25:358,resultant_acc:0.854
 CDTJune/24/2021 12:37:25:410,xyz_acc:-0.026 0.15 -0.968
 CDTJune/24/2021 12:37:25:428,resultant_acc:0.98
 CDTJune/24/2021 12:37:25:432,xyz_acc:-0.029 0.113 -0.976
 CDTJune/24/2021 12:37:25:433,resultant_acc:0.983
 CDTJune/24/2021 12:37:25:434,xyz_acc:-0.032 0.115 -0.981
 CDTJune/24/2021 12:37:25:443,resultant_acc:0.988
 CDTJune/24/2021 12:37:25:444,xyz_acc:-0.029 0.128 -0.999
 CDTJune/24/2021 12:37:25:502,resultant_acc:1.008
 CDTJune/24/2021 12:37:25:503,xyz_acc:-0.036 0.109 -0.998
 CDTJune/24/2021 12:37:25:584,resultant_acc:1.005
 CDTJune/24/2021 12:37:25:597,xyz_acc:-0.031 0.123 -0.991
 CDTJune/24/2021 12:37:25:599,resultant_acc:0.999
 CDTJune/24/2021 12:37:25:621,xyz_acc:-0.033 0.118 -0.992
 CDTJune/24/2021 12:37:26:675,resultant_acc:1.0
 CDTJune/24/2021 12:37:26:697,xyz_acc:-0.032 0.126 -0.986
 CDTJune/24/2021 12:37:26:699,resultant_acc:0.995
 CDTJune/24/2021 12:37:26:699,xyz_acc:-0.033 0.123 -0.996
 CDTJune/24/2021 12:37:26:700,resultant_acc:1.004
 CDTJune/24/2021 12:37:26:701,xyz_acc:-0.032 0.135 -0.994
 CDTJune/24/2021 12:37:26:702,resultant_acc:1.004
 CDTJune/24/2021 12:37:26:710,xyz_acc:-0.031 0.124 -0.991
 CDTJune/24/2021 12:37:26:733,resultant_acc:0.999
 CDTJune/24/2021 12:37:26:734,xyz_acc:-0.033 0.115 -0.984
 CDTJune/24/2021 12:37:26:769,resultant_acc:0.991
 CDTJune/24/2021 12:37:26:771,xyz_acc:-0.031 0.12 -0.989
 CDTJune/24/2021 12:37:26:795,resultant_acc:0.997
 CDTJune/24/2021 12:37:26:796,xyz_acc:-0.028 0.103 -0.995
 CDTJune/24/2021 12:37:26:797,resultant_acc:1.001
 CDTJune/24/2021 12:37:26:868,xyz_acc:-0.037 0.092 -0.979
 CDTJune/24/2021 12:37:26:870,resultant_acc:0.984
 CDTJune/24/2021 12:37:26:872,xyz_acc:-0.0 0.141 -0.905
 CDTJune/24/2021 12:37:26:908,resultant_acc:0.916
 CDTJune/24/2021 12:37:26:947,xyz_acc:-0.074 0.888 -0.621
 CDTJune/24/2021 12:37:26:949,resultant_acc:1.086
 CDTJune/24/2021 12:37:26:953,xyz_acc:-0.136 1.186 -0.315
 CDTJune/24/2021 12:37:26:976,resultant_acc:1.235
 CDTJune/24/2021 12:37:26:89,xyz_acc:-0.096 1.058 -0.557
 CDTJune/24/2021 12:37:26:91,resultant_acc:1.2
 CDTJune/24/2021 12:37:26:159,xyz_acc:-0.036 0.034 -0.89
 CDTJune/24/2021 12:37:26:165,resultant_acc:0.891
 CDTJune/24/2021 12:37:26:240,xyz_acc:-0.1 -0.068 -0.839
 CDTJune/24/2021 12:37:26:242,resultant_acc:0.848
 CDTJune/24/2021 12:37:26:372,xyz_acc:-0.027 0.233 -0.896
 CDTJune/24/2021 12:37:26:374,resultant_acc:0.926
 CDTJune/24/2021 12:37:26:496,xyz_acc:-0.059 1.268 -0.914
 CDTJune/24/2021 12:37:26:510,resultant_acc:1.564
 CDTJune/24/2021 12:37:26:528,xyz_acc:-0.097 0.058 -0.931
 CDTJune/24/2021 12:37:26:538,resultant_acc:0.938
 CDTJune/24/2021 12:37:27:691,xyz_acc:-0.071 -0.095 -0.955
 CDTJune/24/2021 12:37:27:693,resultant_acc:0.962
 CDTJune/24/2021 12:37:27:733,xyz_acc:-0.072 0.428 -0.809
 CDTJune/24/2021 12:37:27:759,resultant_acc:0.918
 CDTJune/24/2021 12:37:27:843,xyz_acc:-0.135 1.268 -0.335
 CDTJune/24/2021 12:37:27:866,resultant_acc:1.318
 CDTJune/24/2021 12:37:27:989,xyz_acc:-0.056 0.332 -0.703
 CDTJune/24/2021 12:37:27:991,resultant_acc:0.779
 CDTJune/24/2021 12:37:27:64,xyz_acc:-0.028 0.02 -0.958
 CDTJune/24/2021 12:37:27:66,resultant_acc:0.959
 CDTJune/24/2021 12:37:27:153,xyz_acc:-0.098 0.628 -0.76
 CDTJune/24/2021 12:37:27:155,resultant_acc:0.991
 CDTJune/24/2021 12:37:27:230,xyz_acc:-0.166 1.223 -0.383
 CDTJune/24/2021 12:37:27:297,resultant_acc:1.292
 CDTJune/24/2021 12:37:27:415,xyz_acc:-0.088 0.038 -0.886
 CDTJune/24/2021 12:37:27:417,resultant_acc:0.891
 CDTJune/24/2021 12:37:27:487,xyz_acc:-0.054 0.058 -0.827
 CDTJune/24/2021 12:37:27:489,resultant_acc:0.831
 CDTJune/24/2021 12:37:28:651,xyz_acc:-0.086 0.979 -0.58
 CDTJune/24/2021 12:37:28:653,resultant_acc:1.141
 CDTJune/24/2021 12:37:28:655,xyz_acc:-0.073 1.1 -0.541
