 CDTJune/21/2021 15:00:01:0,resultant_acc:1.001
 CDTJune/21/2021 15:00:01:135,xyz_acc:0.032 -0.442 -0.895
 CDTJune/21/2021 15:00:01:136,resultant_acc:0.999
 CDTJune/21/2021 15:00:01:199,heart_rate:72.0
 CDTJune/21/2021 15:00:01:200,xyz_acc:0.033 -0.449 -0.893
 CDTJune/21/2021 15:00:01:201,resultant_acc:1.0
 CDTJune/21/2021 15:00:01:202,xyz_acc:0.03 -0.443 -0.897
 CDTJune/21/2021 15:00:01:202,resultant_acc:1.001
 CDTJune/21/2021 15:00:01:203,xyz_acc:0.031 -0.445 -0.897
 CDTJune/21/2021 15:00:01:204,resultant_acc:1.002
 CDTJune/21/2021 15:00:01:204,xyz_acc:0.036 -0.441 -0.899
 CDTJune/21/2021 15:00:01:212,resultant_acc:1.002
 CDTJune/21/2021 15:00:01:254,xyz_acc:0.028 -0.447 -0.891
 CDTJune/21/2021 15:00:01:260,resultant_acc:0.997
 CDTJune/21/2021 15:00:01:299,xyz_acc:0.032 -0.444 -0.893
 CDTJune/21/2021 15:00:01:300,resultant_acc:0.998
 CDTJune/21/2021 15:04:38:516,xyz_acc:0.125 0.083 -1.206
 CDTJune/21/2021 15:04:39:642,resultant_acc:1.215
 CDTJune/21/2021 15:04:39:853,xyz_acc:0.11 -0.172 -0.904
 CDTJune/21/2021 15:04:39:855,resultant_acc:0.927
 CDTJune/21/2021 15:04:39:245,xyz_acc:0.124 -0.185 -0.948
 CDTJune/21/2021 15:04:39:360,resultant_acc:0.974
 CDTJune/21/2021 15:04:39:362,xyz_acc:0.113 -0.137 -0.966
 CDTJune/21/2021 15:04:40:891,resultant_acc:0.982
 CDTJune/21/2021 15:04:40:892,xyz_acc:0.103 -0.156 -0.965
 CDTJune/21/2021 15:04:40:895,resultant_acc:0.983
 CDTJune/21/2021 15:04:40:896,xyz_acc:0.126 -0.137 -1.012
 CDTJune/21/2021 15:04:40:15,resultant_acc:1.029
 CDTJune/21/2021 15:04:40:30,xyz_acc:0.133 -0.128 -0.965
 CDTJune/21/2021 15:04:40:57,resultant_acc:0.982
 CDTJune/21/2021 15:04:40:58,xyz_acc:0.127 -0.143 -0.964
 CDTJune/21/2021 15:04:40:59,resultant_acc:0.983
 CDTJune/21/2021 15:04:40:60,xyz_acc:0.122 -0.136 -0.977
 CDTJune/21/2021 15:04:40:61,resultant_acc:0.994
 CDTJune/21/2021 15:04:40:130,xyz_acc:0.127 -0.128 -0.991
 CDTJune/21/2021 15:04:40:131,resultant_acc:1.007
 CDTJune/21/2021 15:04:40:131,xyz_acc:0.13 -0.128 -0.979
 CDTJune/21/2021 15:04:40:158,resultant_acc:0.996
 CDTJune/21/2021 15:04:40:170,xyz_acc:0.128 -0.128 -0.98
 CDTJune/21/2021 15:04:40:171,resultant_acc:0.997
 CDTJune/21/2021 15:04:40:172,xyz_acc:0.137 -0.126 -0.989
 CDTJune/21/2021 15:04:40:177,resultant_acc:1.006
 CDTJune/21/2021 15:04:40:226,xyz_acc:0.125 -0.126 -0.972
 CDTJune/21/2021 15:04:40:227,resultant_acc:0.988
 CDTJune/21/2021 15:04:40:238,xyz_acc:0.125 -0.141 -0.977
 CDTJune/21/2021 15:04:40:239,resultant_acc:0.995
 CDTJune/21/2021 15:04:40:239,xyz_acc:0.134 -0.126 -0.984
 CDTJune/21/2021 15:04:40:256,resultant_acc:1.001
 CDTJune/21/2021 15:04:40:281,xyz_acc:0.135 -0.124 -0.978
 CDTJune/21/2021 15:04:40:299,resultant_acc:0.995
 CDTJune/21/2021 15:04:40:301,xyz_acc:0.122 -0.132 -0.968
 CDTJune/21/2021 15:04:40:318,resultant_acc:0.985
 CDTJune/21/2021 15:04:40:319,xyz_acc:0.141 -0.128 -0.995
 CDTJune/21/2021 15:04:40:324,resultant_acc:1.013
 CDTJune/21/2021 15:04:40:328,xyz_acc:0.135 -0.121 -0.969
 CDTJune/21/2021 15:04:40:335,resultant_acc:0.986
 CDTJune/21/2021 15:04:40:335,xyz_acc:0.126 -0.122 -0.987
 CDTJune/21/2021 15:04:40:485,resultant_acc:1.002
 CDTJune/21/2021 15:04:40:486,xyz_acc:0.137 -0.114 -0.992
 CDTJune/21/2021 15:04:40:504,resultant_acc:1.008
 CDTJune/21/2021 15:04:40:511,xyz_acc:0.139 -0.107 -0.985
 CDTJune/21/2021 15:04:40:516,resultant_acc:1.0
 CDTJune/21/2021 15:04:40:516,xyz_acc:0.144 -0.117 -0.982
 CDTJune/21/2021 15:04:41:635,resultant_acc:0.999
 CDTJune/21/2021 15:04:41:638,xyz_acc:0.135 -0.111 -0.98
 CDTJune/21/2021 15:04:41:679,resultant_acc:0.995
 CDTJune/21/2021 15:04:41:682,xyz_acc:0.126 -0.115 -0.995
 CDTJune/21/2021 15:04:41:834,resultant_acc:1.01
 CDTJune/21/2021 15:04:41:835,xyz_acc:0.133 -0.119 -0.963
 CDTJune/21/2021 15:04:41:855,resultant_acc:0.979
 CDTJune/21/2021 15:04:41:855,xyz_acc:0.142 -0.115 -0.984
 CDTJune/21/2021 15:04:41:888,resultant_acc:1.001
 CDTJune/21/2021 15:04:41:891,xyz_acc:0.136 -0.129 -0.974
 CDTJune/21/2021 15:04:41:925,resultant_acc:0.992
 CDTJune/21/2021 15:04:41:946,xyz_acc:0.133 -0.111 -0.997
 CDTJune/21/2021 15:04:41:947,resultant_acc:1.012
 CDTJune/21/2021 15:04:41:949,xyz_acc:0.14 -0.128 -0.975
 CDTJune/21/2021 15:04:41:33,resultant_acc:0.993
 CDTJune/21/2021 15:04:41:34,xyz_acc:0.122 -0.142 -0.966
